ticker,sector,country,longName,currency,marketCap,bookValue,regularMarketPrice,asOfDate,EBIT,TotalAssets,TotalDebt,LongTermDebt,CurrentAssets,CurrentLiabilities,GoodwillAndOtherIntangibleAssets,NetPPE,CashCashEquivalentsAndShortTermInvestments
AACG,Consumer Defensive,China,ATA Creativity Global,USD,36230956.0,5.98,1.1466,,,,,,,,,,
AACI,Financial Services,United States,Armada Acquisition Corp. I,USD,204195664.0,-0.053,9.86,,,,,,,,,,
AACIU,Financial Services,United States,Armada Acquisition Corp. I,USD,,-0.053,10.09,,,,,,,,,,
AACIW,,,Armada Acquisition Corp. I,USD,,0.005,0.2798,,,,,,,,,,
AADI,Healthcare,United States,"Aadi Bioscience, Inc.",USD,343658208.0,6.528,16.41,,,,,,,,,,
AAL,Industrials,United States,American Airlines Group Inc.,USD,12743485440.0,-13.764,19.62,,,,,,,,,,
AAME,Financial Services,United States,Atlantic American Corporation,USD,60524444.0,6.93,2.97,,,,,,,,,,
AAOI,Technology,United States,"Applied Optoelectronics, Inc.",USD,77085400.0,9.317,2.8,,,,,,,,,,
AAON,Industrials,United States,"AAON, Inc.",USD,2659541248.0,8.875,49.66,,,,,,,,,,
AAPL,Technology,United States,Apple Inc.,USD,2645308997632.0,4.158,163.44,,,,,,,,,,
AATC,Technology,United States,Autoscope Technologies Corporation,USD,34962592.0,3.68,6.5,,,,,,,,,,
AAWW,Industrials,United States,"Atlas Air Worldwide Holdings, Inc.",USD,2001052032.0,96.158,70.55,,,,,,,,,,
ABCB,Financial Services,United States,Ameris Bancorp,USD,3054626304.0,42.755,43.99,,,,,,,,,,
ABCL,Healthcare,Canada,AbCellera Biologics Inc.,USD,2226017792.0,3.621,7.8236,,,,,,,,,,
ABCM,Healthcare,United Kingdom,Abcam plc,USD,3446957312.0,2.871,14.964,,,,,,,,,,
ABGI,Financial Services,United States,ABG Acquisition Corp. I,USD,190232784.0,-0.238,9.84,,,,,,,,,,
ABIO,Healthcare,United States,"ARCA biopharma, Inc.",USD,35016544.0,3.542,2.43,,,,,,,,,,
ABMD,Healthcare,United States,"Abiomed, Inc.",USD,13595182080.0,33.007,298.5,,,,,,,,,,
ABNB,Consumer Cyclical,United States,"Airbnb, Inc.",USD,104066596864.0,7.538,152.975,,,,,,,,,,
ABOS,Healthcare,United States,"Acumen Pharmaceuticals, Inc.",USD,157910192.0,5.564,3.88,,,,,,,,,,
ABSI,Healthcare,United States,Absci Corporation,USD,542120064.0,3.952,5.81,,,,,,,,,,
ABST,Technology,Canada,Absolute Software Corporation,USD,400374528.0,0.29,7.83,,,,,,,,,,
ABTX,Financial Services,United States,"Allegiance Bancshares, Inc.",USD,855676480.0,40.146,41.99,,,,,,,,,,
ABUS,Healthcare,United States,Arbutus Biopharma Corporation,USD,379316224.0,1.169,2.5295,,,,,,,,,,
ABVC,Healthcare,United States,"ABVC BioPharma, Inc.",USD,69403712.0,0.311,2.29,,,,,,,,,,
ACAB,Financial Services,United States,Atlantic Coastal Acquisition Corp. II,USD,298500000.0,0.003,9.95,,,,,,,,,,
ACABU,Financial Services,United States,Atlantic Coastal Acquisition Corp. II,USD,,0.003,10.03,,,,,,,,,,
ACABW,Financial Services,United States,Atlantic Coastal Acquisition Corp. II,USD,,0.003,0.19,,,,,,,,,,
ACAD,Healthcare,United States,ACADIA Pharmaceuticals Inc.,USD,3144617472.0,3.359,19.48,,,,,,,,,,
